MA0001	StringComparison is missing
MA0002	IEqualityComparer<string> or IComparer<string> is missing
MA0003	Add parameter name to improve readability
MA0004	Use Task.ConfigureAwait
MA0005	Use Array.Empty<T>()
MA0006	Use String.Equals instead of equality operator
MA0007	Add a comma after the last value
MA0008	Add StructLayoutAttribute
MA0009	Add regex evaluation timeout
MA0010	Mark attributes with AttributeUsageAttribute
MA0011	IFormatProvider is missing
MA0012	Do not raise reserved exception type
MA0013	Types should not extend System.ApplicationException
MA0014	Do not raise System.ApplicationException type
MA0015	Specify the parameter name in ArgumentException
MA0016	Prefer using collection abstraction instead of implementation
MA0017	Abstract types should not have public or internal constructors
MA0018	Do not declare static members on generic types
MA0019	Use EventArgs.Empty
MA0020	Use direct methods instead of LINQ methods
MA0021	Use StringComparer.GetHashCode instead of string.GetHashCode
MA0022	Return Task.FromResult instead of returning null
MA0023	Add RegexOptions.ExplicitCapture
MA0024	Use an explicit StringComparer when possible
MA0025	Implement the functionality instead of throwing NotImplementedException
MA0026	Fix TODO comment
MA0027	Prefer rethrowing an exception implicitly
MA0028	Optimize StringBuilder usage
MA0029	Combine LINQ methods
MA0030	Remove useless OrderBy call
MA0031	Optimize Enumerable.Count() usage
MA0032	Use an overload with a CancellationToken argument
MA0033	Do not tag instance fields with ThreadStaticAttribute
MA0035	Do not use dangerous threading methods
MA0036	Make class static
MA0037	Remove empty statement
MA0038	Make method static
MA0039	Do not write your own certificate validation method
MA0040	Forward the CancellationToken parameter to methods that take one
MA0041	Make property static
MA0042	Do not use blocking calls when the calling method is async
MA0043	Use nameof operator in ArgumentException
MA0044	Remove useless ToString call
MA0045	Do not use blocking calls, even when the calling method must become async
MA0046	Use EventHandler<T> to declare events
MA0047	Declare types in namespaces
MA0048	File name must match type name
MA0049	Type name should not match containing namespace
MA0050	Validate arguments correctly in iterator methods
MA0051	Method is too long
MA0052	Replace constant Enum.ToString with nameof
MA0053	Make class or record sealed
MA0054	Embed the caught exception as innerException
MA0055	Do not use finalizer
MA0056	Do not call overridable members in constructor
MA0057	Class name should end with 'Attribute'
MA0058	Class name should end with 'Exception'
MA0059	Class name should end with 'EventArgs'
MA0060	The value returned by Stream.Read/Stream.ReadAsync is not used
MA0061	Method overrides should not change default values
MA0062	Non-flags enums should not be marked with "FlagsAttribute"
MA0063	Use Where before OrderBy
MA0064	Avoid locking on publicly accessible instance
MA0065	Default ValueType.Equals or HashCode is used for struct equality
MA0066	Hash table unfriendly type is used in a hash table
MA0067	Use Guid.Empty
MA0068	Invalid parameter name for nullable attribute
MA0069	Non-constant static fields should not be visible
MA0070	Obsolete attributes should include explanations
MA0071	Avoid using redundant else
MA0072	Do not throw from a finally block
MA0073	Avoid comparison with bool constant
MA0074	Avoid implicit culture-sensitive methods
MA0075	Do not use implicit culture-sensitive ToString
MA0076	Do not use implicit culture-sensitive ToString in interpolated strings
MA0077	A class that provides Equals(T) should implement IEquatable<T>
MA0078	Use 'Cast' instead of 'Select' to cast
MA0079	Forward the CancellationToken using .WithCancellation()
MA0080	Use a cancellation token using .WithCancellation()
MA0081	Method overrides should not omit params keyword
MA0082	NaN should not be used in comparisons
MA0083	ConstructorArgument parameters should exist in constructors
MA0084	Local variables should not hide other symbols
MA0085	Anonymous delegates should not be used to unsubscribe from Events
MA0086	Do not throw from a finalizer
MA0087	Parameters with [DefaultParameterValue] attributes should also be marked [Optional]
MA0088	Use [DefaultParameterValue] instead of [DefaultValue]
MA0089	Optimize string method usage
MA0090	Remove empty else/finally block
MA0091	Sender should be 'this' for instance events
MA0092	Sender should be 'null' for static events
MA0093	EventArgs should not be null when raising an event
MA0094	A class that provides CompareTo(T) should implement IComparable<T>
MA0095	A class that implements IEquatable<T> should override Equals(object)
MA0096	A class that implements IComparable<T> should also implement IEquatable<T>
MA0097	A class that implements IComparable<T> or IComparable should override comparison operators
MA0098	Use indexer instead of LINQ methods
MA0099	Use Explicit enum value instead of 0
MA0100	Await task before disposing of resources
MA0101	String contains an implicit end of line character
MA0102	Make member readonly
MA0103	Use SequenceEqual instead of equality operator
MA0104	Do not create a type with a name from the BCL
MA0105	Use the lambda parameters instead of using a closure
MA0106	Avoid closure by using an overload with the 'factoryArgument' parameter
MA0107	Do not use object.ToString
MA0108	Remove redundant argument value
MA0109	Consider adding an overload with a Span<T> or Memory<T>
MA0110	Use the Regex source generator
MA0111	Use string.Create instead of FormattableString
MA0112	Use 'Count > 0' instead of 'Any()'
MA0113	Use DateTime.UnixEpoch
MA0114	Use DateTimeOffset.UnixEpoch
MA0115	Unknown component parameter
MA0116	Parameters with [SupplyParameterFromQuery] attributes should also be marked as [Parameter]
MA0117	Parameters with [EditorRequired] attributes should also be marked as [Parameter]
MA0118	[JSInvokable] methods must be public
MA0119	JSRuntime must not be used in OnInitialized or OnInitializedAsync
MA0120	Use InvokeVoidAsync when the returned value is not used
MA0121	Do not overwrite parameter value
MA0122	Parameters with [SupplyParameterFromQuery] attributes are only valid in routable components
MA0123	Sequence number must be a constant
MA0124	Microsoft.Extensions.Logging parameter type is not valid
MA0125	The list of log parameter types contains an invalid type
MA0126	The list of log parameter types contains a duplicate
MA0127	Use String.Equals instead of is pattern
MA0128	Use 'is' operator instead of SequenceEqual
MA0129	Await task in using statement
MA0130	GetType() should not be used on System.Type instances
MA0131	ArgumentNullException.ThrowIfNull should not be used with non-nullable types
MA0132	Do not convert implicitly to DateTimeOffset
MA0133	Use DateTimeOffset instead of relying on the implicit conversion
MA0134	Observe result of async calls
MA0135	The log parameter has no configured type
MA0136	Raw String contains an implicit end of line character
MA0137	Use 'Async' suffix when a method returns an awaitable type
MA0138	Do not use 'Async' suffix when a method does not return an awaitable type
MA0139	Serilog parameter type is not valid
MA0140	Both if and else branch have identical code
MA0141	Use 'is not null' instead of '!= null'
MA0142	Use 'is null' instead of '== null'
MA0143	Primary constructor parameters should be readonly
MA0144	Use System.OperatingSystem to check the current OS
MA0145	Signature for [UnsafeAccessorAttribute] method is not valid
MA0146	Name must be set explicitly on local functions
MA0147	Avoid async void method for delegate
MA0148	Use 'is' patterns instead of '==' for constant values
MA0149	Use 'is not' patterns instead of '!=' for constant values
MA0150	Do not call ToString() when the type falls back to object.ToString()
MA0151	DebuggerDisplay must contain valid members
MA0152	Use Unwrap instead of using await twice
MA0153	Do not log symbols decorated with DataClassificationAttribute directly
MA0154	Use langword in XML comment
MA0155	Do not use async void methods
MA0156	Use 'Async' suffix when a method returns IAsyncEnumerable<T>
MA0157	Do not use 'Async' suffix when a method returns IAsyncEnumerable<T>
MA0158	Use System.Threading.Lock
MA0159	Use 'Order' instead of 'OrderBy'
MA0160	Use ContainsKey instead of TryGetValue
MA0161	UseShellExecute must be explicitly set
MA0162	Use Process.Start overload with ProcessStartInfo
MA0163	UseShellExecute must be false when redirecting standard input or output
MA0164	Use parentheses to make not pattern clearer
MA0166	Forward the TimeProvider to methods that take one
MA0167	Use an overload with a TimeProvider argument
MA0168	Use readonly struct for in or ref readonly parameter
MA0169	Use Equals method instead of operator
MA0170	Type cannot be used as an attribute argument
MA0171	Use 'is null' / 'is not null' instead of Nullable<T>.HasValue
MA0172	Both sides of the logical operation are identical
MA0173	Use LazyInitializer.EnsureInitialize
MA0174	Record should use explicit 'class' keyword
MA0175	Record should not use explicit 'class' keyword
MA0176	Optimize guid creation
MA0177	Use single-line XML comment syntax when possible
MA0178	Use TimeSpan.Zero instead of TimeSpan.FromXXX(0)
MA0179	Use Attribute.IsDefined instead of GetCustomAttribute(s)
MA0180	ILogger type parameter should match containing type
MA0181	Do not use cast
MA0182	Avoid unused internal types
MA0183	The format string should use placeholders
MA0184	Do not use interpolated string without parameters
MA0185	Simplify string.Create when all parameters are culture invariant
